State,median_home_price
AK,327568.07980700233
AL,190553.33575047678
AR,185278.64360204135
AZ,354230.12433360994
CA,578883.5936995156
CO,476455.86741968547
CT,420962.60624946957
DC,574016.402521145
DE,364077.2619703585
FL,349111.36382419005
GA,242312.40671637654
HI,840191.597312392
IA,193955.05318644055
ID,413195.6518098109
IL,183507.7339070099
IN,226472.97716737172
KS,163792.78187725527
KY,165556.74554366208
LA,172631.97730497806
MA,582441.551384133
MD,430033.5157801778
ME,316214.8246207766
MI,227863.77996421585
MN,284371.3538449702
MO,230348.26746174443
MS,148243.12300316335
MT,378325.4053372906
NC,272436.2018529541
ND,236455.2145472698
NE,218048.55478512545
NH,452681.8363348325
NJ,553142.7331830132
NM,258373.11845580227
NV,380053.7050083966
NY,312235.9356662818
OH,223214.21016155637
OK,164351.68879103052
OR,441713.2937767769
PA,232062.6661418398
RI,521031.6904923031
SC,216848.27563767764
SD,291844.4152898663
TN,251957.75090032024
TX,256008.25110676337
UT,509480.79594077455
VA,299762.0006481898
VT,337872.1072694491
WA,476100.9491930482
WI,305753.10607688746
WV,138852.58619754435
WY,324824.708039034
